"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.0937332991294198","0 /  7   "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.0937332991294198","0 /  6   "
"Mitogen-activated protein kinase 3","MAPK3","P27361","CHEMBL3385","Kinase","0.0937332991294198","0 /  1   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0937332991294198","0 /  3   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0937332991294198","0 /  58   "
"Prostacyclin receptor","PTGIR","P43119","CHEMBL1995","Family A G protein-coupled receptor","0.07668359353724229","0 /  11   "
"Prostaglandin E2 receptor EP2 subtype","PTGER2","P43116","CHEMBL1881","Family A G protein-coupled receptor","0.07668359353724229","0 /  19   "
"Coagulation factor X","F10","P00742","CHEMBL244","Protease","0.07668359353724229","0 /  18   "
"5'-AMP-activated protein kinase catalytic subunit alpha-2","PRKAA2","P54646","CHEMBL2116","Kinase","0.06362505157164053","0 /  1   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 2","SRD5A2","P31213","CHEMBL1856","Oxidoreductase","0.05675579736011092","0 /  47   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.05074369070058984","0 /  6   "
"Bcl-2-like protein 1","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.05074369070058984","0 /  6   "
"Apoptosis regulator Bcl-2","BCL2","P10415","CHEMBL4860","Other ion channel","0.05074369070058984","0 /  2   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.049767235124934105","0 /  2   "
"DNA topoisomerase 1","TOP1","P11387","CHEMBL1781","Isomerase","0.04678743589868564","0 /  3   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.044350724728756674","0 /  17   "
"Liver carboxylesterase 1","CES1","P23141","CHEMBL2265","Hydrolase","0.042798954617863726","0 /  9   "
"DNA topoisomerase 2-alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.04232526682437217","0 /  2   "
"Cholesteryl ester transfer protein","CETP","P11597","CHEMBL3572","Other ion channel","0.03915476834763732","0 /  5   "
