"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.04458477981947539","2480 /  2   "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.041408316508956454","430 /  23   "
"Aldo-keto reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Oxidoreductase","0.0409788433355714","464 /  15   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.03751589083453072","1286 /  54   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.03649508917818314","599 /  26   "
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.03437546756984562","1403 /  58   "
"Free fatty acid receptor 4","FFAR4","Q5NUL3","CHEMBL5339","Family A G protein-coupled receptor","0.032614525320519575","519 /  72   "
"Fatty-acid amide hydrolase 1","FAAH","O00519","CHEMBL2243","Hydrolase","0.031738708462368315","1309 /  15   "
"Hepatic sodium/bile acid cotransporter","SLC10A1","Q14973","CHEMBL5287","Electrochemical transporter","0.03170309287103675","150 /  2   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.030659664774611708","4272 /  17   "
"Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1","P11166","CHEMBL2535","Electrochemical transporter","0.029632907182749677","134 /  6   "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.026532943410185292","1701 /  44   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.026158497154233854","1101 /  45   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.026135451430128187","1248 /  9   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.02612621359240405","75 /  4   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.02545320565811853","2306 /  21   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.024233711566527722","3226 /  21   "
"DNA topoisomerase 2-alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.022284897254574488","65 /  1   "
"Prostaglandin E2 receptor EP2 subtype","PTGER2","P43116","CHEMBL1881","Family A G protein-coupled receptor","0.020653873615203797","225 /  8   "
"Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","CHEMBL6101","Transcription factor","0.020574289283311353","6 /  3   "
"Diacylglycerol lipase-alpha","DAGLA","Q9Y4D2","CHEMBL5545","Hydrolase","0.019820530881043272","116 /  13   "
"Monoglyceride lipase","MGLL","Q99685","CHEMBL4191","Hydrolase","0.019799247531741063","1193 /  6   "
"Prostaglandin F2-alpha receptor","PTGFR","P43088","CHEMBL1987","Family A G protein-coupled receptor","0.019465867953142483","393 /  18   "
"Autotaxin","ENPP2","Q13822","CHEMBL3691","Enzyme","0.019325943682258","1098 /  20   "
"Adenylate cyclase type 8","ADCY8","P40145","CHEMBL2960","Lyase","0.019263470866294933","43 /  1   "
"Corticosteroid-binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.01844298169443341","18 /  5   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.018441269061562286","89 /  14   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.017323250207501525","2916 /  30   "
"Transcription factor p65","RELA","Q04206","CHEMBL5533","Transcription factor","0.016275129333499817","42 /  3   "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.016250062938239485","1522 /  29   "
"Adenylate cyclase type 1","ADCY1","Q08828","CHEMBL2899","Lyase","0.013973266389553967","118 /  33   "
"G-protein coupled bile acid receptor 1","GPBAR1","Q8TDU6","CHEMBL5409","Family A G protein-coupled receptor","0.013526208755057615","359 /  5   "
"Cathepsin K","CTSK","P43235","CHEMBL268","Protease","0.013513001678658935","1692 /  11   "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.013232166270645107","89 /  5   "
"Interleukin-1 beta","IL1B","P01584","CHEMBL1909490","Secreted protein","0.013142836959009786","159 /  3   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.013035602188396653","4220 /  1   "
"Muscarinic acetylcholine receptor M5","CHRM5","P08912","CHEMBL2035","Family A G protein-coupled receptor","0.013035602188396653","556 /  6   "
"Muscarinic acetylcholine receptor M4","CHRM4","P08173","CHEMBL1821","Family A G protein-coupled receptor","0.013035602188396653","834 /  29   "
"Delta(24)-sterol reductase","DHCR24","Q15392","CHEMBL2331059","Oxidoreductase","0.012818589470187478","12 /  8   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.012714586015347423","551 /  40   "
"85/88 kDa calcium-independent phospholipase A2","PLA2G6","O60733","CHEMBL3213","Enzyme","0.01246248083750091","8 /  2   "
"Low molecular weight phosphotyrosine protein phosphatase","ACP1","P24666","CHEMBL4903","Phosphatase","0.012021026681410715","237 /  3   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.011848041056712716","3591 /  1   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.011637582243253064","2892 /  1   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.011637582243253064","4673 /  6   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.0115682536045971","2614 /  9   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.01145578987459585","142 /  4   "
"Endothelial PAS domain-containing protein 1","EPAS1","Q99814","CHEMBL1744522","Transcription factor","0.011330356887604424","303 /  1   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.010411134447345724","477 /  1   "
