"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Endothelial PAS domain-containing protein 1","EPAS1","Q99814","CHEMBL1744522","Transcription factor","0.09749059298372882","300 /  4   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.09743830078135056","2746 /  31   "
"Transient receptor potential cation channel subfamily M member 2","TRPM2","O94759","CHEMBL1250402","Voltage-gated ion channel","0.095208477924835","7 /  1   "
"Fatty-acid amide hydrolase 1","FAAH","O00519","CHEMBL2243","Hydrolase","0.09222363789814164","1035 /  17   "
"Delta(24)-sterol reductase","DHCR24","Q15392","CHEMBL2331059","Oxidoreductase","0.089414678819555","11 /  8   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.08625570716173563","80 /  22   "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.08572954139786264","80 /  25   "
"Exportin-1","XPO1","O14980","CHEMBL5661","Unclassified protein","0.08450697061705922","60 /  6   "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.08129820976680711","1654 /  8   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.08052488480444439","2563 /  36   "
"5'-nucleotidase","NT5E","P21589","CHEMBL5957","Phosphatase","0.08047850972074722","71 /  7   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 2","SRD5A2","P31213","CHEMBL1856","Oxidoreductase","0.07778351788570405","275 /  15   "
"Transcription factor p65","RELA","Q04206","CHEMBL5533","Transcription factor","0.07700710901764339","48 /  6   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.07432463548700488","375 /  2   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.07261155698872926","1456 /  2   "
"Intercellular adhesion molecule 1","ICAM1","P05362","CHEMBL3070","Adhesion","0.07191060906254106","113 /  1   "
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.07084754618813749","743 /  9   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.0697370035970376","697 /  245   "
"NAD-dependent protein deacetylase sirtuin-2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.0686121719911032","405 /  1   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.06746513558527385","461 /  38   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.0642973109849876","257 /  11   "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.06231038243222903","215 /  10   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.062096033987573004","371 /  12   "
"Glutathione S-transferase P","GSTP1","P09211","CHEMBL3902","Transferase","0.061562595210027736","77 /  3   "
"Vitamin D3 receptor","VDR","P11473","CHEMBL1977","Nuclear receptor","0.06116480415720035","257 /  21   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.059977946420338484","2818 /  1   "
"Geranylgeranyl transferase type I","N/A","P49354&P53609","CHEMBL2095164","Transferase","0.0598868905359706","210 /  1   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.05947495758940914","308 /  17   "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.05946234263217824","109 /  5   "
"Receptor-interacting serine/threonine-protein kinase 3","RIPK3","Q9Y572","CHEMBL1795199","Kinase","0.05944485472931","205 /  1   "
"Pancreatic triacylglycerol lipase","PNLIP","P16233","CHEMBL1812","Hydrolase","0.059138002642707146","16 /  7   "
"Thromboxane A2 receptor","TBXA2R","P21731","CHEMBL2069","Family A G protein-coupled receptor","0.05786909325533102","78 /  16   "
"Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1","P11166","CHEMBL2535","Electrochemical transporter","0.057059602002377564","126 /  6   "
"Inhibitor of nuclear factor kappa-B kinase subunit beta","IKBKB","O14920","CHEMBL1991","Kinase","0.056774456554630884","606 /  6   "
"Prolyl endopeptidase","PREP","P48147","CHEMBL3202","Protease","0.05631396855563038","268 /  1   "
"Bcl-2-like protein 1","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.05509152541567169","92 /  6   "
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.05481047413847389","121 /  23   "
"Adenylate cyclase type 8","ADCY8","P40145","CHEMBL2960","Lyase","0.0508306595054451","41 /  1   "
"Ribosomal protein S6 kinase alpha-5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.05062242600274384","85 /  4   "
"Oxysterols receptor LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.05031573568387841","647 /  16   "
"Oxysterols receptor LXR-beta","NR1H2","P55055","CHEMBL4093","Nuclear receptor","0.05031573568387841","743 /  10   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.04876332682227748","2980 /  12   "
"Liver carboxylesterase 1","CES1","P23141","CHEMBL2265","Hydrolase","0.048260801851043915","199 /  5   "
"Nuclear receptor subfamily 4 group A member 2","NR4A2","P43354","CHEMBL5002","Nuclear receptor","0.0480777619808665","44 /  3   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.04789981264499895","681 /  14   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.045949109429355796","5914 /  10   "
"Ubiquitin carboxyl-terminal hydrolase 2","USP2","O75604","CHEMBL1293227","Protease","0.044997252377302246","21 /  1   "
"M-phase inducer phosphatase 3","CDC25C","P30307","CHEMBL2378","Phosphatase","0.04462616776523111","39 /  5   "
