"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.05881328370978537","4059 /  10   "
"All-trans-retinol dehydrogenase [NAD(+)] ADH4","ADH4","P08319","CHEMBL2990","Oxidoreductase","0.052037262411507475","0 /  1   "
"All-trans-retinol dehydrogenase [NAD(+)] ADH1B","ADH1B","P00325","CHEMBL3284","Oxidoreductase","0.052037262411507475","0 /  6   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.040365936390537586","4597 /  1   "
"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase","EBP","Q15125","CHEMBL4931","Isomerase","0.03271884030962212","60 /  6   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.03064147575851181","2187 /  7   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.029307423940639427","762 /  4   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.026994144302630786","2352 /  45   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.026821623241906425","1345 /  22   "
"All-trans-retinol dehydrogenase [NAD(+)] ADH7","ADH7","P40394","CHEMBL3867","Oxidoreductase","0.026468146321339692","0 /  1   "
"Nociceptin receptor","OPRL1","P41146","CHEMBL2014","Family A G protein-coupled receptor","0.024900241731063144","2291 /  10   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.024789034810044193","2752 /  8   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.02427130636013472","2770 /  1   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.022537785669745923","335 /  4   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.022537785669745923","771 /  4   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.022537785669745923","243 /  4   "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.020864284454017074","1602 /  124   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.020272364873838333","3557 /  1   "
"Deoxyhypusine synthase","DHPS","P49366","CHEMBL4415","Transferase","0.01946097094677888","17 /  1   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 1","SRD5A1","P18405","CHEMBL1787","Oxidoreductase","0.01902121672520979","286 /  35   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.017474514255012476","1336 /  17   "
"G-protein coupled bile acid receptor 1","GPBAR1","Q8TDU6","CHEMBL5409","Family A G protein-coupled receptor","0.01587672837527745","339 /  1   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.014444104820034052","163 /  4   "
"Carbonic anhydrase 3","CA3","P07451","CHEMBL2885","Lyase","0.014444104820034052","78 /  2   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.014121092362695735","221 /  4   "
"3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7","HSD17B7","P56937","CHEMBL5999","Oxidoreductase","0.01363445993189473","3 /  2   "
"Glucose-6-phosphate 1-dehydrogenase","G6PD","P11413","CHEMBL5347","Oxidoreductase","0.013513696446503768","20 /  4   "
"Fatty-acid amide hydrolase 1","FAAH","O00519","CHEMBL2243","Hydrolase","0.012846671017602973","1141 /  7   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.01270041089578511","2739 /  3   "
"Lysine-specific demethylase 2B","KDM2B","Q8NHM5","CHEMBL3779760","Eraser","0.011831898756109181","349 /  1   "
"Vesicular acetylcholine transporter","SLC18A3","Q16572","CHEMBL4767","Electrochemical transporter","0.01173156985267637","204 /  4   "
"Tyrosyl-DNA phosphodiesterase 1","TDP1","Q9NUW8","CHEMBL1075138","Phosphodiesterase","0.01122228759947239","68 /  1   "
"Alpha-2A adrenergic receptor","ADRA2A","P08913","CHEMBL1867","Family A G protein-coupled receptor","0.011044510534811865","689 /  1   "
"N-acylethanolamine-hydrolyzing acid amidase","NAAA","Q02083","CHEMBL4349","Hydrolase","0.01083610437758294","287 /  6   "
"Nitric oxide synthase 1","NOS1","P29475","CHEMBL3568","Oxidoreductase","0.010441482166818682","797 /  35   "
"Peroxisomal N(1)-acetyl-spermine/spermidine oxidase","PAOX","Q6QHF9","CHEMBL2105","Oxidoreductase","0.010340901947281881","9 /  5   "
"Dipeptidyl peptidase 4","DPP4","P27487","CHEMBL284","Protease","0.00982081351152251","3512 /  51   "
"Metabotropic glutamate receptor 5","GRM5","P41594","CHEMBL3227","Family C G protein-coupled receptor","0.009112851672739317","607 /  2   "
"C-X-C chemokine receptor type 4","CXCR4","P61073","CHEMBL2107","Family A G protein-coupled receptor","0.009078179255496572","234 /  2   "
"Protein arginine N-methyltransferase 6","PRMT6","Q96LA8","CHEMBL1275221","Writer","0.008360312395266283","118 /  2   "
"11-beta-hydroxysteroid dehydrogenase type 2","HSD11B2","P80365","CHEMBL3746","Oxidoreductase","0.007995524948386902","72 /  2   "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","0.007769494376936516","508 /  33   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.007313199258396459","877 /  1   "
"Nitric oxide synthase 3","NOS3","P29474","CHEMBL4803","Enzyme","0.006777023967303114","236 /  18   "
"17-beta-hydroxysteroid dehydrogenase type 3","HSD17B3","P37058","CHEMBL4234","Oxidoreductase","0.006344241004526051","36 /  4   "
"Anti-estrogen binding site (AEBS)","N/A","Q15125&Q9UBM7","CHEMBL612409","Oxidoreductase","0.0063429221410069465","9 /  2   "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.006301312870787142","55 /  2   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.004958935686539607","566 /  4   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.0047734234290351795","44 /  1   "
"Histone-arginine methyltransferase CARM1","CARM1","Q86X55","CHEMBL5406","Writer","0.004728179879838905","257 /  2   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.0046879230316934205","1661 /  1   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.0045748165162798424","3916 /  11   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.0045748165162798424","3269 /  11   "
