"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Melatonin receptor type 1A","MTNR1A","P48039","CHEMBL1945","Family A G protein-coupled receptor","0.18512078000264792","12 /  76   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.1842236685137905","268 /  35   "
"17-beta-hydroxysteroid dehydrogenase type 1","HSD17B1","P14061","CHEMBL3181","Oxidoreductase","0.1842236685137905","305 /  66   "
"Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2","P16083","CHEMBL3959","Oxidoreductase","0.18404592120108976","19 /  20   "
"Arachidonate 5-lipoxygenase-activating protein","ALOX5AP","P20292","CHEMBL4550","Other cytosolic protein","0.18098856171062574","21 /  3   "
"Sex hormone-binding globulin","SHBG","P04278","CHEMBL3305","Secreted protein","0.18013787980438584","22 /  16   "
"Aryl hydrocarbon receptor","AHR","P35869","CHEMBL3201","Transcription factor","0.17810494455502862","4 /  3   "
"Serine/threonine-protein kinase pim-1","PIM1","P11309","CHEMBL2147","Kinase","0.17636806454525789","86 /  2   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.16992747434773792","68 /  24   "
"Histone acetyltransferase KAT2B","KAT2B","Q92831","CHEMBL5500","Writer","0.16987719573134322","9 /  3   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","0.1692363695821058","41 /  3   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.1692363695821058","80 /  5   "
"Dual specificity protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","0.1692363695821058","40 /  3   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.1658143933405265","73 /  11   "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.1652269429844711","20 /  10   "
"Histone deacetylase 4","HDAC4","P56524","CHEMBL3524","Eraser","0.1652269429844711","14 /  9   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.16429979731458488","23 /  3   "
"Receptor-type tyrosine-protein kinase FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.16334713503945988","85 /  1   "
"Alpha-ketoglutarate-dependent dioxygenase FTO","FTO","Q9C0B1","CHEMBL2331065","Oxidoreductase","0.16189302116784718","17 /  3   "
"Transient receptor potential cation channel subfamily V member 2","TRPV2","Q9Y5S1","CHEMBL5051","Voltage-gated ion channel","0.16023231371680677","5 /  2   "
"Transient receptor potential cation channel subfamily V member 4","TRPV4","Q9HBA0","CHEMBL3119","Voltage-gated ion channel","0.16023231371680677","10 /  2   "
"Transient receptor potential cation channel subfamily V member 3","TRPV3","Q8NET8","CHEMBL5522","Voltage-gated ion channel","0.16023231371680677","6 /  2   "
