"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","0.07926017469604062","153 /  11   "
"Mast/stem cell growth factor receptor Kit","KIT","P10721","CHEMBL1936","Kinase","0.07750730004545676","56 /  2   "
"Aldo-keto reductase family 1 member C1","AKR1C1","Q04828","CHEMBL5905","Oxidoreductase","0.07640258641312157","39 /  2   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.07556398722982839","327 /  3   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.07254574783928433","74 /  3   "
"Aldehyde dehydrogenase, mitochondrial","ALDH2","P05091","CHEMBL1935","Oxidoreductase","0.07217660533267395","26 /  42   "
"Apoptosis regulator Bcl-2","BCL2","P10415","CHEMBL4860","Other ion channel","0.07004904140170122","87 /  6   "
"Aurora kinase A","AURKA","O14965","CHEMBL4722","Kinase","0.06978964144434277","106 /  1   "
"Prostaglandin E2 receptor EP2 subtype","PTGER2","P43116","CHEMBL1881","Family A G protein-coupled receptor","0.06788918781981869","4 /  1   "
"Poly [ADP-ribose] polymerase tankyrase-1","TNKS","O95271","CHEMBL6164","Transferase","0.06776024847321083","32 /  13   "
"Cysteine protease ATG4B","ATG4B","Q9Y4P1","CHEMBL1741221","Enzyme","0.06768471533212275","4 /  2   "
"Inhibitor of nuclear factor kappa-B kinase subunit beta","IKBKB","O14920","CHEMBL1991","Kinase","0.0673315709642468","69 /  2   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.06543410064372887","72 /  31   "
"Receptor tyrosine-protein kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.06495403115331759","89 /  1   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.06378938068926454","313 /  6   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.06330386342821744","106 /  20   "
