"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"BDNF/NT-3 growth factors receptor","NTRK2","Q16620","CHEMBL4898","Kinase","0.9418181417457373","5 /  2   "
"Inhibitor of nuclear factor kappa-B kinase subunit beta","IKBKB","O14920","CHEMBL1991","Kinase","0.9418181417457373","66 /  4   "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Oxidoreductase","0.9397887056947655","45 /  3   "
"A-type voltage-gated potassium channel KCND3","KCND3","Q9UK17","CHEMBL1964","Voltage-gated ion channel","0.9351283174343584","1 /  1   "
"Transient receptor potential cation channel subfamily V member 3","TRPV3","Q8NET8","CHEMBL5522","Voltage-gated ion channel","0.9351283174343584","3 /  1   "
"Potassium voltage-gated channel subfamily A member 5","KCNA5","P22460","CHEMBL4306","Voltage-gated ion channel","0.9351283174343584","8 /  21   "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.9334106670539051","40 /  7   "
"Cystic fibrosis transmembrane conductance regulator","CFTR","P13569","CHEMBL4051","Other ion channel","0.9313780356977085","18 /  3   "
"Lysine-specific demethylase 4E","KDM4E","B2RXH2","CHEMBL1293226","Eraser","0.9292880588902881","11 /  2   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.9271940819429344","119 /  33   "
"Serine/threonine-protein kinase pim-1","PIM1","P11309","CHEMBL2147","Kinase","0.9257492344540613","158 /  20   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.9223549901659522","143 /  6   "
"72 kDa type IV collagenase","MMP2","P08253","CHEMBL333","Protease","0.9223549901659522","183 /  4   "
"Tyrosine-protein kinase Yes","YES1","P07947","CHEMBL2073","Kinase","0.9203279469522005","8 /  5   "
"MAP kinase-interacting serine/threonine-protein kinase 1","MKNK1","Q9BUB5","CHEMBL4718","Kinase","0.9108689217316237","21 /  2   "
"DNA polymerase eta","POLH","Q9Y253","CHEMBL5542","Transferase","0.9076503907825936","5 /  4   "
"CDK8/Cyclin C","N/A","P49336&P24863","CHEMBL3038474","Kinase","0.9071991544559418","9 /  12   "
"Ribosomal protein S6 kinase alpha-3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.9041031422253067","52 /  26   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.9026706880992963","77 /  91   "
"Protein disulfide-isomerase","P4HB","P07237","CHEMBL5422","Isomerase","0.8820792470329706","109 /  2   "
"Inositol polyphosphate multikinase","IPMK","Q8NFU5","CHEMBL4523401","Transferase","0.8809867917300379","4 /  6   "
