"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.11732002892411554","99 /  159   "
"Vascular endothelial growth factor receptor 1","FLT1","P17948","CHEMBL1868","Kinase","0.1171424756976218","133 /  23   "
"Mast/stem cell growth factor receptor Kit","KIT","P10721","CHEMBL1936","Kinase","0.1171424756976218","92 /  15   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.11689520498525692","536 /  131   "
"Ribosomal protein S6 kinase alpha-3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.11470282642103947","86 /  8   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.11245889150674164","90 /  318   "
"Histamine H3 receptor","HRH3","Q9Y5N1","CHEMBL264","Family A G protein-coupled receptor","0.11049494624246907","23 /  189   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.11001293227709444","192 /  223   "
"Carbonic anhydrase 3","CA3","P07451","CHEMBL2885","Lyase","0.10895032890053383","6 /  2   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.10562391075673039","241 /  110   "
