"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"dCTP pyrophosphatase 1","DCTPP1","Q9H773","CHEMBL3769292","Hydrolase","0.0020895926709584354","0 /  1   "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.0020895926709584354","0 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.002068772742808697","0 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.002068772742808697","0 /  3   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.002029905734146122","0 /  19   "
"Transient receptor potential cation channel subfamily M member 8","TRPM8","Q7Z2W7","CHEMBL1075319","Voltage-gated ion channel","0.002029905734146122","0 /  1   "
"Geranylgeranyl transferase type I","N/A","P49354&P53609","CHEMBL2095164","Transferase","0.0019652447525517268","0 /  1   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.0019652447525517268","0 /  4   "
"Synaptojanin-2","SYNJ2","O15056","CHEMBL4523129","Hydrolase","0.0019588090048862287","0 /  11   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.0019390437920168032","0 /  2   "
"Splicing factor 3B subunit 3","SF3B3","Q15393","CHEMBL1250378","Other nuclear protein","0.0019390437920168032","0 /  9   "
"Peptidyl-prolyl cis-trans isomerase FKBP5","FKBP5","Q13451","CHEMBL2052031","Enzyme","0.0019390437920168032","0 /  2   "
"Protein phosphatase 3 catalytic subunit alpha","PPP3CA","Q08209","CHEMBL4445","Phosphatase","0.0019390437920168032","0 /  2   "
"Peptidyl-prolyl cis-trans isomerase FKBP4","FKBP4","Q02790","CHEMBL4050","Isomerase","0.0019390437920168032","0 /  2   "
"Peptidyl-prolyl cis-trans isomerase FKBP1B","FKBP1B","P68106","CHEMBL2430","Isomerase","0.0019390437920168032","0 /  2   "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.0019390437920168032","0 /  34   "
"Cytochrome P450 3A4","CYP3A4","P08684","CHEMBL340","Cytochrome P450","0.0019390437920168032","0 /  2   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.0018532103719742345","0 /  4   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.0018532103719742345","0 /  8   "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Ligase","0.0018532103719742345","0 /  15   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.0018532103719742345","0 /  7   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.0018532103719742345","0 /  28   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.0018532103719742345","0 /  8   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.0018532103719742345","0 /  8   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.0018532103719742345","0 /  5   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.0018532103719742345","0 /  10   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.0018532103719742345","0 /  25   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.0018532103719742345","0 /  29   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.0018532103719742345","0 /  27   "
"Kelch-like ECH-associated protein 1","KEAP1","Q14145","CHEMBL2069156","Unclassified protein","0.0017532945196502949","0 /  3   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.00165484364983044","0 /  1   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.00165484364983044","0 /  11   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.00165484364983044","0 /  49   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.0015539598220910176","0 /  1   "
"Transient receptor potential cation channel subfamily M member 7","TRPM7","Q96QT4","CHEMBL1250412","Voltage-gated ion channel","0.0015001736587342222","0 /  1   "
"Pyruvate carboxylase, mitochondrial","PC","P11498","CHEMBL5725151","Ligase","0.0014728371385604605","0 /  1   "
