"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Tubulin beta-1 chain","TUBB1","Q9H4B7","CHEMBL1915","Structural protein","0.34045834880510023","16 /  31   "
"72 kDa type IV collagenase","MMP2","P08253","CHEMBL333","Protease","0.27826609632750904","124 /  62   "
"Interstitial collagenase","MMP1","P03956","CHEMBL332","Protease","0.27826609632750904","85 /  58   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.26791046746180386","660 /  113   "
"G-protein coupled receptor 35","GPR35","Q9HC97","CHEMBL1293267","Family A G protein-coupled receptor","0.23461910808787695","27 /  3   "
"Dihydroorotate dehydrogenase (quinone), mitochondrial","DHODH","Q02127","CHEMBL1966","Oxidoreductase","0.23461910808787695","35 /  5   "
"Ribosomal protein S6 kinase alpha-3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.23461910808787695","40 /  1   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.23461910808787695","18 /  1   "
"Tubulin beta-3 chain","TUBB3","Q13509","CHEMBL2597","Structural protein","0.22984488674579848","1 /  1   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.21426148378603296","14 /  65   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.20166180266398578","21 /  5   "
"Microtubule-associated protein tau","MAPT","P10636","CHEMBL1293224","Other cytosolic protein","0.17485674459080405","23 /  19   "
"CDGSH iron-sulfur domain-containing protein 1","CISD1","Q9NZ45","CHEMBL1795168","Unclassified protein","0.17439384360435883","22 /  6   "
"Lysine-specific demethylase 5B","KDM5B","Q9UGL1","CHEMBL3774295","Eraser","0.16450390504284612","20 /  1   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","0.14398323435184932","67 /  21   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","0.13892284175082736","114 /  19   "
"Type-1 angiotensin II receptor","AGTR1","P30556","CHEMBL227","Family A G protein-coupled receptor","0.13032406257025395","1 /  1   "
"Indoleamine 2,3-dioxygenase 1","IDO1","P14902","CHEMBL4685","Oxidoreductase","0.10033090506441296","143 /  6   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.09945696510201697","123 /  11   "
"Receptor tyrosine-protein kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.08439727182087481","52 /  11   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.08376962158957642","108 /  34   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.08101555107449251","53 /  8   "
"Neuronal acetylcholine receptor; alpha3/beta4","N/A","P30926&P32297","CHEMBL1907594","Ligand-gated ion channel","0.07109754746720079","20 /  35   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.06961640602205077","219 /  19   "
"Neuronal acetylcholine receptor; alpha4/beta2","N/A","P17787&P43681","CHEMBL1907589","Ligand-gated ion channel","0.06938329328546976","16 /  20   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.06559828408358867","87 /  15   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.06466731964195349","93 /  40   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.059378019494108016","56 /  21   "
"Tissue factor","F3","P13726","CHEMBL4081","Surface antigen","0.05917034196960583","11 /  9   "
"Glutathione reductase, mitochondrial","GSR","P00390","CHEMBL2755","Oxidoreductase","0.0581760037540169","4 /  5   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.05514052274698149","5 /  1   "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.054593882333330096","30 /  1   "
"Eukaryotic elongation factor 2 kinase","EEF2K","O00418","CHEMBL5026","Kinase","0.054593882333330096","3 /  3   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.051671130731115775","70 /  2   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.05073390464169929","30 /  6   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.04631414924968986","51 /  7   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.04621076721355482","4 /  4   "
