"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.14821186535529982","1249 /  44   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.14821186535529982","1108 /  35   "
"M-phase inducer phosphatase 3","CDC25C","P30307","CHEMBL2378","Phosphatase","0.1449557250408047","44 /  5   "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.1449557250408047","88 /  21   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.14261855768785717","5541 /  5   "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.14237551510073576","715 /  9   "
"Bromodomain-containing protein 2","BRD2","P25440","CHEMBL1293289","Reader","0.14237551510073576","689 /  1   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.13977940927976373","473 /  4   "
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.1368820532624073","277 /  10   "
"Proteasome component C5","PSMB1","P20618","CHEMBL4208","Protease","0.1366161308797587","44 /  4   "
"Bromodomain testis-specific protein","BRDT","Q58F21","CHEMBL1795185","Reader","0.13414954535300727","136 /  1   "
"Oxysterols receptor LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.1340073304019857","484 /  30   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.1328927670367481","1836 /  1   "
"Tyrosine-protein phosphatase non-receptor type 11","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.1302373956880128","1044 /  5   "
"Fatty-acid amide hydrolase 1","FAAH","O00519","CHEMBL2243","Hydrolase","0.12972111689768517","859 /  18   "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.12930312688789886","501 /  48   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.12879456658819152","4009 /  1   "
"Delta(24)-sterol reductase","DHCR24","Q15392","CHEMBL2331059","Oxidoreductase","0.12183579589593196","11 /  11   "
